date,open,high,low,close,volume,barCount,wap
2026-03-16 19:40:00+00:00,6699.21,6700.23,6693.75,6695.25,0,292,0.0
2026-03-16 19:45:00+00:00,6695.3,6697.53,6693.58,6696.65,0,293,0.0
2026-03-16 19:50:00+00:00,6696.59,6699.16,6693.87,6695.41,0,291,0.0
2026-03-16 19:55:00+00:00,6695.09,6701.11,6695.09,6699.85,0,291,0.0
2026-03-17 13:30:00+00:00,6722.35,6747.45,6722.35,6743.74,0,297,0.0
2026-03-17 13:35:00+00:00,6743.77,6747.38,6741.79,6747.26,0,290,0.0
2026-03-17 13:40:00+00:00,6747.92,6749.0,6744.7,6745.26,0,295,0.0
2026-03-17 13:45:00+00:00,6745.17,6754.3,6744.0,6752.91,0,297,0.0
2026-03-17 13:50:00+00:00,6752.83,6752.83,6746.57,6750.57,0,297,0.0
2026-03-17 13:55:00+00:00,6750.58,6751.06,6746.74,6748.62,0,295,0.0
2026-03-17 14:00:00+00:00,6748.94,6748.94,6740.07,6741.79,0,294,0.0
2026-03-17 14:05:00+00:00,6741.83,6744.12,6741.15,6742.47,0,295,0.0
2026-03-17 14:10:00+00:00,6742.3,6742.74,6734.11,6734.24,0,291,0.0
2026-03-17 14:15:00+00:00,6733.54,6734.46,6725.53,6734.36,0,292,0.0
2026-03-17 14:20:00+00:00,6734.71,6737.93,6732.96,6734.84,0,295,0.0
2026-03-17 14:25:00+00:00,6734.74,6736.28,6730.62,6734.98,0,294,0.0
2026-03-17 14:30:00+00:00,6734.84,6739.77,6731.61,6738.84,0,295,0.0
2026-03-17 14:35:00+00:00,6739.03,6741.47,6733.29,6734.53,0,294,0.0
2026-03-17 14:40:00+00:00,6734.51,6742.97,6732.57,6742.47,0,285,0.0
2026-03-17 14:45:00+00:00,6742.26,6744.04,6740.66,6742.7,0,294,0.0
2026-03-17 14:50:00+00:00,6742.88,6743.22,6739.81,6740.97,0,287,0.0
2026-03-17 14:55:00+00:00,6740.93,6742.87,6739.01,6739.75,0,285,0.0
2026-03-17 15:00:00+00:00,6739.8,6741.79,6734.23,6734.49,0,291,0.0
